City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mocimboa,-11.3167,40.35,31.04,46,9,4.67,MZ,1727426432
1,okondja,-0.6549,13.6753,25.0,88,99,1.64,GA,1727426433
2,papatowai,-46.5619,169.4708,6.58,79,99,5.08,NZ,1727426435
3,bilibino,68.0546,166.4372,-5.0,88,86,0.71,RU,1727426436
4,keflavik,64.0049,-22.5624,5.24,87,0,1.54,IS,1727426437
5,albany,42.6001,-73.9662,15.85,81,100,1.13,US,1727426350
6,port alfred,-33.5906,26.891,20.1,73,4,1.79,ZA,1727426440
7,isafjordur,66.0755,-23.124,4.02,75,100,6.17,IS,1727426441
8,avarua,-21.2078,-159.775,22.03,68,75,2.06,CK,1727426443
9,namibe,-15.1961,12.1522,23.52,73,86,3.7,AO,1727426444
10,grytviken,-54.2811,-36.5092,-0.02,86,36,5.05,GS,1727426446
11,nadym,65.5333,72.5167,7.09,80,99,7.07,RU,1727426447
12,georgetown,5.4112,100.3354,31.97,69,20,4.63,MY,1727426448
13,hermanus,-34.4187,19.2345,14.89,81,90,2.51,ZA,1727426450
14,ribeira grande,38.5167,-28.7,23.22,94,75,4.12,PT,1727426451
15,waitangi,-43.9535,-176.5597,8.23,76,32,5.81,NZ,1727426453
16,bajil,15.0584,43.2851,38.15,38,5,3.15,YE,1727426454
17,phon charoen,18.0333,103.1667,31.54,65,59,2.78,TH,1727426455
18,wynyard,-41.0,145.7167,11.22,75,92,3.12,AU,1727426457
19,kavieng,-2.5744,150.7967,28.56,71,88,0.3,PG,1727426458
20,ilulissat,69.2167,-51.1,6.01,65,100,4.12,GL,1727426459
21,bethel,41.3712,-73.414,17.79,90,100,0.45,US,1727426461
22,iqaluit,63.7506,-68.5145,4.85,93,75,0.0,CA,1727426462
23,rio de janeiro,-22.9028,-43.2075,24.0,88,0,4.63,BR,1727426464
24,ushuaia,-54.8,-68.3,1.81,75,40,12.35,AR,1727426361
25,dudinka,69.4058,86.1778,0.85,98,100,5.62,RU,1727426466
26,semey,50.4111,80.2275,8.12,39,75,5.0,KZ,1727426468
27,tiksi,71.6872,128.8694,1.07,98,100,3.62,RU,1727426469
28,whitehorse,60.7161,-135.0538,-0.57,92,0,1.03,CA,1727426430
29,west island,-12.1568,96.8225,27.99,74,75,7.72,CC,1727426472
30,tortoli,39.9256,9.6572,28.41,74,0,3.6,IT,1727426473
31,carnot,4.9409,15.8665,27.0,73,100,1.96,CF,1727426475
32,jatai,-17.8814,-51.7144,25.7,45,99,2.66,BR,1727426476
33,adamstown,-25.066,-130.1015,20.99,93,45,4.52,PN,1727426479
34,aykhal,66.0,111.5,1.97,61,96,3.5,RU,1727426480
35,kemri,28.8167,79.2167,28.19,76,93,6.36,IN,1727426482
36,pangkalanbuun,-2.6833,111.6167,28.67,69,100,1.76,ID,1727426483
37,kodiak,57.79,-152.4072,0.73,86,0,3.09,US,1727426485
38,longyearbyen,78.2186,15.6401,0.91,51,75,8.75,SJ,1727426487
39,college,64.8569,-147.8028,5.25,91,100,3.09,US,1727426489
40,megion,61.0296,76.1136,6.01,55,100,3.12,RU,1727426490
41,invercargill,-46.4,168.35,7.79,85,93,2.68,NZ,1727426441
42,constantia,44.1833,28.65,26.5,67,0,6.74,RO,1727426493
43,taulaga,-11.0553,-171.0883,26.32,79,100,6.69,AS,1727426494
44,vranje,42.5514,21.9003,23.53,46,1,2.62,RS,1727426496
45,grand rapids,42.9634,-85.6681,14.47,93,0,3.09,US,1727426497
46,ambovombe,-25.1667,46.0833,29.28,52,0,1.51,MG,1727426500
